Manufacturer,Model,Match in Dataset1,Price,Open / Closed,Style,Bass,Midrange,Treble,Removable Cable,Active Noise Canceling,Amp Required? (More than 1.1V to 110dB),Driver Style,Pads,Folds Up?,Notes,Head-Fi Link
AKG,K240 Studio,TRUE,$179,Semi,Over-ear,Recessed,Neutral,Neutral,Yes,,Yes,Dynamic,Pleather,,,
AKG,Q701,TRUE,$230,Open,Over-ear,Recessed,Neutral,Neutral,Yes,,Yes,Dynamic,Velour,,,
AKG,K701,TRUE,$265,Open,Over-ear,Recessed,Neutral,Neutral,No,,Yes,Dynamic,Velour,,,
AKG,K702,TRUE,$265,Open,Over-ear,Recessed,Neutral,Emphasized,Yes,,Yes,Dynamic,Velour,,,
AKG,K550mkII,TRUE,$280,Closed,Over-ear,Neutral,Neutral,Neutral,No,,No,Dynamic,Pleather,,,
AKG,K712 Pro,TRUE,$499,Open,Over-ear,Neutral,Emphasized,Emphasized,Yes,,Yes,Dynamic,Velour,,,
AKG,K612 Pro,TRUE,$150,Open,Over-ear,Neutral,Neutral,Emphasized,Yes,,,,Velour,,,
AKG,K553 Pro,TRUE,$300,Closed,Over-ear,Neutral,Neutral,Emphasized,Yes,,,,Pleather,,,
AKG,K52,TRUE,$50,Closed,Over-ear,Neutral,Neutral,Neutral,No,,,,Pleather,,,
AKG,K545,TRUE,$250,Closed,Over-ear,Neutral,Neutral,Neutral,Yes,,,,Pleather,,,
AKG,K7XX,TRUE,$650,Open,Over-ear,Neutral,Neutral,Emphasized,Yes,,,,Velour,,,
AKG,K812,TRUE,"$1,500",Open,Over-ear,Neutral,Neutral,Neutral,Yes,,,,Pleather,,,
AKG,K872,TRUE,"$1,550",Closed,Over-ear,Emphasized,Emphasized,Neutral,Yes,,,,Pleather,,,
AKG,M220,TRUE,$160,Semi,Over-ear,Neutral,Neutral,Neutral,Yes,,,,Pleather,,,
Audeze,LCD-2,TRUE,$995,Open,Over-ear,Emphasized,Neutral,Recessed,Yes,,Yes,Planar Magnetic,Leather,,,
Audio Technica,M50x,TRUE,$120,Closed,Over-ear,Emphasized,Neutral,Emphasized,Yes,,No,Dynamic,Pleather,Yes,,
Audio Technica,A900X,TRUE,$210,Closed,Over-ear,Neutral,Neutral,Emphasized,No,,No,Dynamic,Velour,,,
Audio Technica,AD900X,TRUE,$210,Open,Over-ear,Recessed,Emphasized,Emphasized,No,,No,Dynamic,Velour,,,
Audio Technica,M40x,TRUE,$100,Closed,Over-ear,Neutral,Neutral,Neutral,Yes,,,,Pleather,,,
Audio Technica,M30x,TRUE,$100,Closed,Over-ear,Neutral,Neutral,Neutral,No,,,,Pleather,,,
Beyerdynamic,DT 990 Pro 250 Ohm,TRUE,$160,Open,Over-ear,Emphasized,Recessed,Emphasized,No,,Yes,Dynamic,Velour,,,
Beyerdynamic,DT 770 Pro 250 Ohm,TRUE,$170,Closed,Over-ear,Emphasized,Recessed,Emphasized,No,,Yes,Dynamic,Velour,,,
Beyerdynamic,DT 880 Pro,TRUE,$230,Semi,Over-ear,Recessed,Neutral,Emphasized,No,,Yes,Dynamic,Velour,,,
Beyerdynamic,T70p,TRUE,$430,Closed,Over-ear,Neutral,Neutral,Neutral,No,,No,Dynamic,Velour,,,
Beyerdynamic,T1 Gen 1,TRUE,"$1,400",Open,Over-ear,Neutral,Neutral,Emphasized,Yes,,Yes,Dynamic,Velour,,,
Beyerdynamic,DT 1990 PRO,TRUE,$600,Open,Over-ear,Emphasized,Neutral,Emphasized,Yes,,,,Velour,,,
Fostex,T20RP MK3,TRUE,$80,Semi,Over-ear,Recessed,Neutral,Recessed,Yes,,Yes,Planar Magnetic,Pleather,,"Same driver as T50RP, minor enclosure differences.",Link
Fostex,T50RP,TRUE,$100,Closed,Over-ear,Recessed,Neutral,Recessed,Yes,,Yes,Planar Magnetic,Pleather,,Commonly modded.,Link
Fostex,TH-900,TRUE,"$1,499",Closed,Over-ear,Emphasized,Neutral,Neutral,Yes,,No,Dynamic,Pleather,,,
Fostex,TH-X00,TRUE,$400,Closed,Over-ear,Emphasized,Recessed,Emphasized,No,,,,Pleather,,,
Hifiman,HE-400i,TRUE,$399,Open,Over-ear,Neutral,Neutral,Emphasized,Yes,,Yes,Planar Magnetic,Pleather,,,
Hifiman,HE6,TRUE,"$1,299",Open,Over-ear,Neutral,Neutral,Neutral,Yes,,Yes,Planar Magnetic,Leather,,,
Hifiman,HE-560,TRUE,$900,Open,Over-ear,Neutral,Neutral,Neutral,Yes,,,,Velour,,,
Philips,Fidelio X2,TRUE,$299,Open,Over-ear,Emphasized,Recessed,Emphasized,Yes,,No,Dynamic,Velour,,,
Philips,SHP9500S,TRUE,$100,Open,Over-ear,Recessed,Neutral,Emphasized,Yes,,,,Fabric,,,
Sennheiser,HD518,TRUE,$105,Open,Over-ear,Neutral,Neutral,Neutral,Yes,,No,Dynamic,Velour,,"Can be modded, but not modded into HD558/HD598.",
Sennheiser,HD380 Pro,TRUE,$145,Closed,Over-ear,Neutral,Neutral,Neutral,Yes,,No,Dynamic,Pleather,Yes,Very high isolation.,
Sennheiser,HD558,TRUE,$150,Open,Over-ear,Neutral,Neutral,Recessed,Yes,,No,Dynamic,Velour,,Can be modded into HD598.,
Sennheiser,HD598,TRUE,$215,Open,Over-ear,Neutral,Neutral,Neutral,Yes,,No,Dynamic,Velour,,,
Sennheiser,HD600,TRUE,$399,Open,Over-ear,Neutral,Neutral,Neutral,Yes,,Yes,Dynamic,Velour,,"Same driver as Sennheiser HD580, different grills.",
Sennheiser,HD650,TRUE,$499,Open,Over-ear,Emphasized,Neutral,Neutral,Yes,,Yes,Dynamic,Velour,,,
Sennheiser,HD700,TRUE,"$1,000",Open,Over-ear,Neutral,Neutral,Emphasized,Yes,,Yes,Dynamic,Velour,,,
Sennheiser,HD800,TRUE,"$1,500",Open,Over-ear,Neutral,Neutral,Emphasized,Yes,,Yes,Dynamic,Velour,,,
Sennheiser,HD6XX,TRUE,$200,Open,Over-ear,Emphasized,Neutral,Neutral,Yes,,,,Velour,,,
Sennheiser,URBANITE XL,TRUE,$180,Closed,Over-ear,Emphasized,Recessed,Recessed,Yes,,,,Velour,,,
Sennheiser,HD598Cs,TRUE,$250,Closed,Over-ear,Emphasized,Neutral,Emphasized,Yes,,,,Fabric,,,
Shure,SRH440,TRUE,$90,Closed,Over-ear,Recessed,Neutral,Neutral,Yes,,No,Dynamic,Pleather,Yes,,Link
Shure,SRH840,TRUE,$199,Closed,Over-ear,Neutral,Neutral,Neutral,Yes,,No,Dynamic,Pleather,Yes,,
Superlux,HD-681,TRUE,$30,Semi,Over-ear,Recessed,Neutral,Emphasized,No,,No,Dynamic,Pleather,,,Link
Superlux,HD 668B,TRUE,$40,Semi,Over-ear,Neutral,Neutral,Emphasized,Yes,,No,Dynamic,Pleather,,,Link
Superlux,HD-681 EVO,TRUE,$40,Closed,Over-ear,Emphasized,Recessed,Emphasized,Yes,,No,Dynamic,Pleather,,,Link
V-moda,Crossfade M100,TRUE,$299,Closed,Over-ear,Emphasized,Recessed,Recessed,Yes,,No,Dynamic,Pleather,Yes,,